energy,smiles
-6.5,Cc1ccc(C2=NNN(c3ccnc4c(S(C)(=O)=O)cccc34)[C@@H]2c2ccccn2)cc1
-5.4,CC1=NNN(c2nncn2NCc2ccc(F)cc2)[C@H]1C1=C(CO)CCC1
-7.0,O=C(O)C#Cc1ccccc1[C@@H]1C(C(=O)O)=NNN1c1ccc(F)cc1F
-5.3,O=[N+]([O-])c1cc2c(cc1N1NN=C(CCCCO)[C@@H]1[C@@H]1CO1)OCCO2
-8.3,Cc1ccc(CN2NN=C(CSc3nnc(-c4ccncc4)o3)[C@@H]2C)cc1C
-7.3,C=CC[C@H]1C(CCO)=NNN1CCCN1NN=C2C=CC=C[C@@H]21
-6.1,CC[C@H]1C(CCOCCO)=NNN1c1cccc(CO)c1
-7.5,NCC1=NNN(CC2=C[C@H]3NCN=C3C=C2)[C@@H]1c1cccs1
-6.4,CCCC1=NNN(c2ccc(C(=O)C=O)cc2)[C@H]1C1(NC)CCC1
-8.2,O=C(NC[C@@]1(O)CCOC1)[C@H]1C(c2ccccc2)=NNN1Cc1ccccc1
-8.2,C[C@@H](O)CNCC1=NNN(CC(=O)c2cccc(F)c2)[C@H]1c1ccccc1
-5.4,C#C[C@@](C)(c1ccccc1)N1NN=C([C@@H](O)C(C)(C)C)[C@H]1[C@@H](O)C(C)(C)C
-6.2,C=CC[C@@H](O)[C@H]1C(C2CC2)=NNN1c1cccc2cccnc12
-5.8,CCOC(=O)C(=O)[C@H]1C(C2=C(OC)CCC2)=NNN1c1cccc2ncccc12
-5.7,NCC[C@@H]1C(CN2CC2)=NNN1C1=NS(=O)(=O)c2ccccc21
-7.4,CC(C)N(CC1=NNN(C[C@@H]2COc3ccccc3O2)[C@H]1[C@@H](C)O)Cc1ccccc1
-7.1,CC(C)(CO)NCC1=NNN(CCc2ccc(-c3ncc[nH]3)cc2)[C@@H]1C(C)(C)C
-5.3,CN(C)C[C@H]1C(COCCO)=NNN1c1ccc(F)c([N+](=O)[O-])c1
-6.0,C=CC1=NNN(c2ccc(F)cc2F)[C@H]1[C@H]1CCC[C@H]1CO
-7.9,C=C(C)[C@@](C)(OC(C)=O)[C@H]1C(CN2CCCC2)=NNN1Cc1ccc(-n2cccn2)cc1
